gene.length,n
2690.4666666666667,30
2443.266666666667,30
2643.5333333333333,30
3073.4333333333334,30
2726.9333333333334,30
2404.6666666666665,30
2553.633333333333,30
2850.766666666667,30
2246.6,30
2743,30
2376.4333333333334,30
2770.0333333333333,30
2666.4,30
2427.4666666666667,30
2012.7666666666667,30
2701.733333333333,30
2743.633333333333,30
2753.0333333333333,30
2440.1,30
2397.9333333333334,30
2268.266666666667,30
2288.233333333333,30
3264.4,30
2406.7,30
2671.233333333333,30
3101.3,30
3344.0666666666666,30
2829.1666666666665,30
2057.0666666666666,30
2355.233333333333,30
2456.366666666667,30
2898.633333333333,30
2467.9,30
2438.866666666667,30
3563.2,30
2855.0333333333333,30
2841.5666666666666,30
2829.3,30
2497.3,30
2415.5666666666666,30
2620.866666666667,30
2508.6,30
2443.8333333333335,30
2552.8333333333335,30
2462.1,30
2437.633333333333,30
3121.0333333333333,30
2427.4666666666667,30
2696.866666666667,30
2648.4,30
2513.366666666667,30
3384.1666666666665,30
2933.9333333333334,30
3049.4,30
2661.1,30
2672.266666666667,30
2384.266666666667,30
2856.8,30
2599.366666666667,30
2487.1,30
2546.5333333333333,30
2948.4,30
2529.5333333333333,30
1997.8666666666666,30
2559.9333333333334,30
3305.4666666666667,30
2700.733333333333,30
2469.5333333333333,30
2566.3333333333335,30
2627.5333333333333,30
3142.3,30
3076.9,30
2607.8333333333335,30
2423.133333333333,30
2875.3,30
2870.8333333333335,30
2711.9666666666667,30
2798.9666666666667,30
2903.4666666666667,30
2574.3,30
2514.733333333333,30
2736.866666666667,30
2827.4,30
2573.3,30
3035.9,30
3368.2,30
2601.4,30
2676.7,30
3375.6666666666665,30
2686.1,30
2904,30
2185.5666666666666,30
2007.9333333333334,30
2099.5,30
2288.266666666667,30
2408.133333333333,30
2642.733333333333,30
2079.4,30
2946.5,30
2358.1,30
2521.1666666666665,30
3556.8333333333335,30
2421.1666666666665,30
2321.766666666667,30
2527.8333333333335,30
2939.266666666667,30
2375.366666666667,30
2534.3333333333335,30
2669.5,30
2639.4666666666667,30
2480.3,30
