tag,id,latitude,longitude,elevation,subspecies,site,nodeFirstFlower,avgProtandry,avgHerkogamy,avgPetalArea,dateFlowered,admixProportion
SAW-68-P,68,35.678406,-118.48093,988.397644,P,SAW,NA,0,0.5,7.418,18275,0.01636588
SAW-69-P,69,35.678397,-118.480953,989.459106,P,SAW,18,0.5,0,25.159,18256,0.017845479
SAW-7-P,7,35.681027,-118.473337,888.803955,P,SAW,28,1,NA,15.055,18262,0.016856095
SAW-70-P,70,35.678384,-118.481027,990.246033,P,SAW,19,0,0,25.7,18254,0.009303477
SAW-71-P,71,35.678382,-118.481009,991.005554,P,SAW,19,0,0,19.4,18254,0.008473823
SAW-72-P,72,35.678382,-118.48104,991.664185,P,SAW,18,0,0,27.35,18253,0.016646545
SAW-73-P,73,35.678378,-118.48105,992.031738,P,SAW,21,0,0,34.945,18253,0.014552664
SAW-74-P,74,35.678368,-118.481106,992.335632,P,SAW,17,1,0.25,22.0625,18254,0.013565027
SAW-75-P,75,35.678354,-118.48113,994.004822,P,SAW,19,0.5,0,33.7565,18254,0.016528279
SAW-76-P,76,35.678335,-118.481139,993.555664,P,SAW,33,0,0.25,25.6095,18255,0.020986717
SAW-77-P,77,35.678334,-118.481174,994.087463,P,SAW,18,0,0.5,30.107,18255,0.016360357
SAW-78-P,78,35.678323,-118.481204,994.853638,P,SAW,20,0,0.25,26.4,18255,0.014761336
SAW-79-P,79,35.67817,-118.481264,997.476013,P,SAW,20,0,0,23.895,18251,0.016431367
SAW-8-P,8,35.680977,-118.473282,889.434204,P,SAW,25,1,0.25,15.363,18261,0.017510924
SAW-81-P,81,35.678189,-118.481217,999.12439,P,SAW,15,0,0.5,18.1985,18254,0.022060969
SAW-82-P,82,35.678184,-118.481164,998.459839,P,SAW,20,0,0.75,25.5,18254,0.017359264
SAW-83-P,83,35.678286,-118.481081,996.754578,P,SAW,12,0,0,15.718,18254,0.018040481
SAW-84-P,84,35.678267,-118.481019,996.275635,P,SAW,15,0,0,27.819,18253,0.017572724
SAW-85-P,85,35.678269,-118.48101,996.122375,P,SAW,17,0,0.5,27.341,18254,0.01760635
SAW-86-P,86,35.678294,-118.481022,996.203857,P,SAW,17,0,0,21.6405,18254,0.015456033
SAW-89-X,89,35.678827,-118.473489,911.101074,X,SAW,20.5,2.5,4,155.49,18267,0.05813647
SAW-9-P,9,35.681143,-118.473549,890.131592,P,SAW,25,0,0.75,14,18271,0.017274191
SAW-90-P,90,35.678883,-118.47329,904.06958,P,SAW,27,0,0,18.205,18267,0.016132177
SAW-91-P,91,35.678963,-118.47341,904.190735,P,SAW,27,0,0.5,10,18267,0.016906529
SAW-92-P,92,35.678909,-118.473314,901.998169,P,SAW,25,0.5,0,8.7,18262,0.016233445
SAW-93-X,93,35.678912,-118.473308,902.522034,X,SAW,17,3.5,7.5,110.008,18268,0.081680426
SAW-94-P,94,35.678976,-118.473298,900.584412,P,SAW,27,0,0,14.143,18265,0.014273574
SAW-95-P,95,35.67889,-118.473272,901.0495,P,SAW,25,0,2.5,20.05,18273,0.015022272
SAW-96-P,96,35.678887,-118.473242,900.980469,P,SAW,30,0,0.5,11.35,18273,0.015303655
SAW-97-P,97,35.678958,-118.47322,898.06842,P,SAW,16,0,1,27.3205,18253,0.01791796
SAW-98-P,98,35.678931,-118.473133,894.502563,P,SAW,26,0,1.5,25.4585,18256,0.01459843
SAW-99-P,99,35.678911,-118.473009,891.78717,P,SAW,25,0.5,0.5,23.9,18262,0.016121934
SM-1071-P,1071,35.606299,-118.413619,1037.064209,P,SM,17,1,0,34.25,18329,0.038396036
SM-1072-P,1072,35.606114,-118.41374,1037.416138,P,SM,19,0,0.25,29,18326,0.017885986
SM-1075-P,1075,35.605916,-118.413761,1041.036987,P,SM,21,0,1,25.95,18328,0.018178236
SM-1076-P,1076,35.605923,-118.413775,1041.41333,P,SM,18,0,0.75,33.05,18326,0.018457277
SM-1077-P,1077,35.605793,-118.413737,1043.667114,P,SM,18,0,0,36.35,18326,0.014702396
