ril,location,mean_visits,petal_color,date_first_flw,node_first_flw,petal_area_mm,petal_perim_mm,asd_mm,protandry,stem_dia_mm,lwc,growth_rate
B128,SR,0.4167,pink,93,19.4,41.4008,41.5076,0.1,0.4,1.738,0.826,0.732
A90,GC,0.0625,white,96.4,21.2,81.4988,53.0312,1.2,2.4,2.102,0.8176,1.26
A90,SR,1,white,96.4,21.2,81.4988,53.0312,1.2,2.4,2.102,0.8176,1.26
B46,GC,0,pink,98,21.4,53.2248,41.148,1.1,0.8,2.218,0.8386,1.484
B46,SR,0.5833,pink,98,21.4,53.2248,41.148,1.1,0.8,2.218,0.8386,1.484
A25,GC,0,pink,99.4,25.4,75.3268,54.0192,1.3,1.8,2.088,0.8196,1.648
A25,SR,0.9167,pink,99.4,25.4,75.3268,54.0192,1.3,1.8,2.088,0.8196,1.648
B42,GC,0,white,96.4,22.6,34.1476,39.835,0.3,0.8,2.076,0.8564,1.728
B42,SR,0.0909,white,96.4,22.6,34.1476,39.835,0.3,0.8,2.076,0.8564,1.728
A59,GC,0,pink,97.6,20.4,71.4441,55.5947,0.4,2.4,2.106,0.8429,1.628
A59,SR,1.1538,pink,97.6,20.4,71.4441,55.5947,0.4,2.4,2.106,0.8429,1.628
B113,GC,0,white,93,14.8,62.7928,54.3456,2.3,0.8,1.822,0.8681,0.376
B113,SR,0.25,white,93,14.8,62.7928,54.3456,2.3,0.8,1.822,0.8681,0.376
A18,GC,0,pink,95,23,48.3486,41.9704,0.8,1.4,1.998,0.8264,0.596
A18,SR,1.8333,pink,95,23,48.3486,41.9704,0.8,1.4,1.998,0.8264,0.596
A67,GC,0.4375,white,95.8,16.2,73.4988,50.35,0,2.4,2.154,0.8194,1.104
A67,SR,0.4167,white,95.8,16.2,73.4988,50.35,0,2.4,2.154,0.8194,1.104
A46,GC,0,white,97.6,20.2,115.6038,62.545,0.9,2.8,2.276,0.8499,0.896
A46,SR,3,white,97.6,20.2,115.6038,62.545,0.9,2.8,2.276,0.8499,0.896
A100,GC,0.1875,pink,96.8,26,55.4111,43.201,1.2,1,2.328,0.8376,1.448
A100,SR,0.5833,pink,96.8,26,55.4111,43.201,1.2,1,2.328,0.8376,1.448
A57,GC,0,pink,96.2,18.6,77.2472,65.6102,1.3,2.2,2.216,0.8131,0.596
A57,SR,1.5,pink,96.2,18.6,77.2472,65.6102,1.3,2.2,2.216,0.8131,0.596
A1,GC,0,white,95.2,20.6,43.0434,42.4688,0.1,1.2,1.924,0.8311,1.272
A1,SR,0.6667,white,95.2,20.6,43.O,42.4688,0.1,1.2,1.924,0.8311,1.272
B34,GC,0,white,95,19.8,50.5726,47.3444,0.4,2,1.976,0.8798,0.976
B34,SR,0,white,95,19.8,50.5726,47.3444,0.4,2,1.976,0.8798,0.976
A96,GC,0,white,98.6,17.8,78.3645,58.5525,1.8,3,1.974,0.8203,1.288
A96,SR,2,white,98.6,17.8,78.3645,58.5525,1.8,3,1.974,0.8203,1.288
B37,GC,0.5,white,97.6102,18.8,73.662,62.1255,1,2.7444,2.33,0.8372,1.72
B37,SR,NA,white,97.6102,18.8,73.662,62.1255,1,2.7444,2.33,0.8372,1.72
A63,GC,0,pink,100.6,24.2,75.0028,55.125,0.9,2,2.176,0.8125,0.884
A63,SR,0.5,pink,100.6,24.2,75.0028,55.125,0.9,2,2.176,0.8125,0.884
A124,GC,0,white,91.4,17.2,60.881,46.4956,0.7,2,2.192,0.8099,0.312
A124,SR,1,white,91.4,17.2,60.881,46.4956,0.7,2,2.192,0.8099,0.312
A16,GC,0,pink,94.6,18.8,53.2716,49.6968,0.1,2.4,2.044,0.8227,1.1
A16,SR,1.1538,pink,94.6,18.8,53.2716,49.6968,0.1,2.4,2.044,0.8227,1.1
A129,GC,0,white,92.6,16.4,54.0814,39.3284,0.5,1,1.93,0.8258,0.924
A129,SR,NA,white,92.6,16.4,54.0814,39.3284,0.5,1,1.93,0.8258,0.924
B52,GC,0,pink,89.8,12.8,76.2432,49.3892,0.1,2.4,1.812,0.8505,0.124
B52,SR,NA,pink,89.8,12.8,76.2432,49.3892,0.1,2.4,1.812,0.8505,0.124
B138,GC,0,white,90.4,16.8,85.8362,56.6234,2.14,2.2,2.27,0.7739,0.14
B138,SR,NA,white,90.4,16.8,85.8362,56.6234,2.14,2.2,2.27,0.7739,0.14
B136,GC,0,pink,94.2,14.4,61.712,56.5396,3.1,3,2.036,0.8254,0.6
B136,SR,7.4167,pink,94.2,14.4,61.712,56.5396,3.1,3,2.036,0.8254,0.6
A87,GC,0,white,95.6,19.4,66.0638,53.9232,0.1,1.8,2.194,0.8375,1.288
A87,SR,2.1667,white,95.6,19.4,66.0638,53.9232,0.1,1.8,2.194,0.8375,1.288
B135,GC,1.25,pink,93.2,18.6,57.4096,46.9164,0.8,1.8,1.93,0.8066,0.668
B135,SR,0.75,pink,93.2,18.6,57.4096,46.9164,0.8,1.8,1.93,0.8066,0.668
A8,GC,0,white,98,16.4,63.6576,49.495,0,2,2.092,0.8118,0.792
A8,SR,0,white,98,16.4,63.6576,49.495,0,2,2.092,0.8118,0.792
B73,GC,0.5,pink,95,19,41.5872,41.2032,0.4,2,1.844,0.875,0.868
B73,SR,0.3333,pink,95,19,41.5872,41.2032,0.4,2,1.844,0.875,0.868
A126,GC,0,white,94,19.6,41.0542,40.5746,0.3,0.8,1.954,0.8165,1.072
A126,SR,1.8333,white,94,19.6,41.0542,40.5746,0.3,0.8,1.954,0.8165,1.072
A102,GC,0.25,pink,98.2,25.6,51.1878,47.1634,0.5,0.8,2.422,0.8421,1.8
A102,SR,0.6667,pink,98.2,25.6,51.1878,47.1634,0.5,0.8,2.422,0.8421,1.8
A28,GC,2,pink,99,23,56.3573,51.4347,0.5,1.4,1.99,0.8437,1.152
A28,SR,3,pink,99,23,56.3573,51.4347,0.5,1.4,1.99,0.8437,1.152
B31,GC,1,pink,95.4,19.8,62.4374,46.1266,1.1,1.6,1.966,0.8634,1.228
B31,SR,0.75,pink,95.4,19.8,62.4374,46.1266,1.1,1.6,1.966,0.8634,1.228
A42,GC,0,pink,95.8,17.2,87.4064,53.9334,1.1,3.2,2.03,0.8019,1.312
A42,SR,4.5833,pink,95.8,17.2,87.4064,53.9334,1.1,3.2,2.03,0.8019,1.312
A89,GC,0.3333,white,93,18.4,59.1986,47.3948,1,2.4,1.864,0.827,0.92
A89,SR,NA,white,93,18.4,59.1986,47.3948,1,2.4,1.864,0.827,0.92
B117,GC,0,white,93.2,13.8,60.9332,50.5846,0.6,0.4,1.758,0.8743,0.364
B117,SR,0,white,93.2,13.8,60.9332,50.5846,0.6,0.4,1.758,0.8743,0.364
B132,GC,0.6667,pink,91.4,13.4,99.497,56.7104,1.7,3,1.982,0.8031,0.576
B132,SR,2.3333,pink,91.4,13.4,99.497,56.7104,1.7,3,1.982,0.8031,0.576
B139,GC,0.5556,pink,98.9961,17.2,88.1534,58.4131,2.4,2.2,1.892,0.8344,1.4
B139,SR,0.1538,pink,98.9961,17.2,88.1534,58.4131,2.4,2.2,1.892,0.8344,1.4
A119,GC,0,pink,101.2,24.8,48.735,46.9077,0.9,1,1.898,0.8214,0.864
A119,SR,0.8333,pink,101.2,24.8,48.735,46.9077,0.9,1,1.898,0.8214,0.864
A31,GC,0.3333,pink,99.4,21.2,73.4152,55.2467,1,2,2.202,0.8079,0.96
A31,SR,3.4615,pink,99.4,21.2,73.4152,55.2467,1,2,2.202,0.8079,0.96
A97,GC,0,white,95.4,19.8,42.178,45.4138,0.1,1.4,2.12,0.8547,1.124
A97,SR,NA,white,95.4,19.8,42.178,45.4138,0.1,1.4,2.12,0.8547,1.124
A53,GC,0,white,96.8,19,65.3938,54.3942,0.6,1.2,2.116,0.8548,1.044
A53,SR,0.5833,white,96.8,19,65.3938,54.3942,0.6,1.2,2.116,0.8548,1.044
A43,GC,0,pink,94,21,42.5802,43.763,1.1,1.4,1.996,0.8112,1.192
A43,SR,1.9167,pink,94,21,42.5802,43.763,1.1,1.4,1.996,0.8112,1.192
B58,GC,0,white,95,13.6,84.7776,54.5258,0.3,1.8,1.796,0.8731,0.784
B58,SR,1.5833,white,95,13.6,84.7776,54.5258,0.3,1.8,1.796,0.8731,0.784
B85,GC,NA,pink,96.6,21,77.0738,55.8397,1.3,3.2,2.13,0.8488,1.468
B85,SR,0.3333,pink,96.6,21,77.0738,55.8397,1.3,3.2,2.13,0.8488,1.468
B131,GC,NA,white,87.4,10.6,65.8434,47.4442,0.2,1.8,1.918,0.847,0.141
B131,SR,0.75,white,87.4,10.6,65.8434,47.4442,0.2,1.8,1.918,0.847,0.141
