probCluster1,probCluster2,probCluster3,probCluster4,cluster,site,id,replicate,subspecies,date_flowered_std,avg_protandry,avg_herkogamy,mean_petal_area_sq_cm
2.640861083727588e-5,0.9999735913891626,3.822153292219192e-42,0,2,GC,708,B,U,22,7.75,7.5,2.725
0.16442431116654502,0.835575688833455,6.905504392831568e-42,0,2,GC,708,C,U,20,7,8.5,2.0225
4.873099605869712e-17,9.878350048079405e-19,0.0014548779279377417,0.9985451220720621,4,GC,709,A,U,8,1,0,0.293
3.0417161588143754e-18,2.2958759301983625e-20,3.1939075784271395e-4,0.9996806092421573,4,GC,709,B,U,5,0,0,0.3625
5.442367140978605e-19,7.824041931755614e-21,2.546651271136469e-4,0.9997453348728864,4,GC,709,C,U,5,0,0,0.3015
4.0161099025745176e-8,6.254495238912406e-12,0.9999999598326464,7.683976808433358e-28,3,GC,710,C,U,10,0,0.25,1.01525
0.9702116856329378,0.0297883143670623,1.558616052148985e-37,0,1,GC,711,A,U,10,7,8.5,1.597
0.27974456098428746,0.7202554390157125,1.5862117269459883e-45,0,2,GC,711,B,U,15,8.5,9,1.9875
0.9023286112477719,0.09767138875222807,1.3787696496435274e-38,0,1,GC,711,C,U,11,8,8.5,1.7075
2.2749266286706757e-16,1.6169184207581165e-18,0.0015278800013013248,0.9984721199986984,4,GC,713,A,U,9,0.5,0,0.401
2.0870826426285125e-18,2.5281125668844767e-20,2.6896414430829135e-4,0.9997310358556917,4,GC,713,B,U,6,0.25,0,0.3215
6.723034294384371e-6,4.789644532980953e-9,0.999993272176061,1.5096595205637986e-67,3,GC,713,C,U,10,3,1.5,0.8345
1.5576250279994358e-8,2.4706686289225693e-11,0.9999999843591676,3.987535640996726e-11,3,GC,714,A,U,15,1.5,0,0.7615000000000001
5.274100992066189e-8,2.124696935464966e-11,0.9999999472377431,1.8763629977921506e-39,3,GC,714,B,U,12,0.5,1,0.9125
9.275665053826899e-18,1.7071237579141807e-18,0.005150295764821731,0.9948497042351784,4,GC,714,C,U,16,0,0,0.2385
0.9999999999992069,7.931725978304418e-13,NA,NA,1,S22,181,N,P,0,0,0,0.1965
0.9999999999989895,1.0104701566144837e-12,NA,NA,1,S22,1008,N,P,0,0,0,0.2305
0.9999999999952454,4.754591375138353e-12,NA,NA,1,S22,1007,N,P,0,0,0,0.3285
0.9999999999984588,1.541147442470125e-12,NA,NA,1,S22,1060,N,P,0,0,0,0.26649999999999996
0.999999999993592,6.407906673271267e-12,NA,NA,1,S22,1005,N,P,1,0,1,0.2485
0.9999999999985891,1.4109534985930453e-12,NA,NA,1,S22,1006,N,P,3,0,0,0.206
0.9999999999779581,2.2041886810591643e-11,NA,NA,1,S22,1011,N,P,5,0,0.75,0.318
0.9999999999977207,2.2791887882242885e-12,NA,NA,1,S22,1058,N,P,6,0,0,0.198
0.9999999999660489,3.395100431735109e-11,NA,NA,1,S22,1059,N,P,6,0,0,0.3656666666666667
0.9999999999175717,8.242832819300732e-11,NA,NA,1,S22,1017,N,P,6,0.5,1,0.32
0.9999999190501226,8.094987730492842e-8,NA,NA,1,S22,1004,N,P,6,1,2.5,0.2475
0.999999999996021,3.9790691695020425e-12,NA,NA,1,S22,1009,N,P,8,0,0,0.2275
0.9999999997906521,2.0934787165710142e-10,NA,NA,1,S22,1018,N,P,9,0,0.5,0.395
0.9999999999873275,1.2672609336512476e-11,NA,NA,1,S22,1003,N,P,9,0,0.75,0.2375
0.9999999996174795,3.8252051613753253e-10,NA,NA,1,S22,172,N,P,9,1.5,0.25,0.247
9.874415023878702e-61,1,NA,NA,2,S22,188,N,X,9,4,5.5,1.3864999999999998
2.718546455943565e-150,1,NA,NA,2,S22,1049,N,X,11,5,6,2.232
0.9999999999392235,6.07765734607627e-11,NA,NA,1,S22,169,N,P,12,0,0.75,0.3075
0.999999988749459,1.1250541140692173e-8,NA,NA,1,S22,1016,N,P,12,0.5,1.5,0.4035
8.489921692332609e-75,1,NA,NA,2,S22,1045,N,X,12,6,5.5,1.373
5.0869540954980305e-73,1,NA,NA,2,S22,198,N,X,13,4.5,3.5,1.6265
