"","chrom","ind","taxa","site","subsp","cutoff0.9","weighted","ind2","Tag","lat","lon","ele","distance2hetero","id","replicate","uniqueID","fl_1_open","fl_1_anthers","fl_1_stigma","fl_1_protandry","fl_1_herkogamy","fl_2_open","fl_2_anthers","fl_2_stigma","fl_2_protandry","fl_2_herkogamy","node","date_flowered","avg_protandry","avg_herkogamy","notes","date_flowered_std","mean_petal_area_sq_cm","number_petals_measured","petal_color"
"280","whole_genome","SM-1093p","SM_p","SM","P",0.00219432583910106,0.0130416962632778,"1093","SM-1093-P",35.604471,-118.414764,1067.192139,58.5700355698345,1093,"N","SM-1093","3/9/20","3/9/20","3/9/20",0,0,"3/11/20","3/11/20","3/11/20",0,0,20,"3/9/20",0,0,NA,7,0.3695,2,"white"
"281","whole_genome","SM-1094p","SM_p","SM","P",0.0152317880794702,0.042700602783976,"1094","SM-1094-P",35.604422,-118.4148,1068.800659,52.2878916046249,1094,"N","SM-1094","3/13/20","3/13/20","3/16/20",3,0,"3/13/20","3/13/20","3/16/20",3,0,23.5,"3/13/20",3,0,NA,11,NA,NA,NA
"282","whole_genome","SM-1096p","SM_p","SM","P",0.00262278573717215,0.013531284212561,"1096","SM-1096-P",35.60439,-118.414799,1073.558105,49.4679121742797,1096,"N","SM-1096","3/7/20","3/7/20","3/7/20",0,0,"3/12/20","3/12/20","na",NA,NA,14,"3/7/20",0,0,NA,5,0.237,2,"white"
"283","whole_genome","SM-1097p","SM_p","SM","P",0.00224157807096196,0.0128328079597105,"1097","SM-1097-P",35.604371,-118.414838,1076.106079,45.743565551295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284","whole_genome","SM-1098p","SM_p","SM","P",0.0183028203859475,0.0486957832601349,"1098","SM-1098-P",35.604317,-118.414783,1077.469482,44.2705530670964,1098,"N","SM-1098","3/9/20","3/9/20","3/10/20",1,2,"3/10/20","3/10/20","3/10/20",0,1,19,"3/9/20",0.5,1.5,NA,7,0.2825,2,"pink"
"285","whole_genome","SM-1100p","SM_p","SM","P",0.018428905161075,0.0484161121749304,"1100","SM-1100-P",35.604224,-118.414819,1082.413818,35.0318769118779,1100,"N","SM-1100","3/5/20","3/5/20","3/5/20",0,1,"3/5/20","3/5/20","3/5/20",0,0,19,"3/5/20",0,0.5,NA,3,NA,NA,NA
"286","whole_genome","SM-1101p","SM_p","SM","P",0.00530064678039914,0.0184988399723396,"1101","SM-1101-P",35.604142,-118.414921,1083.819946,22.4259507972853,1101,"N","SM-1101","3/2/20","3/2/20","3/2/20",0,1,"3/2/20","3/2/20","3/2/20",0,1,19,"3/2/20",0,1,NA,0,NA,NA,NA
"287","whole_genome","SM-1103x","SM_x","SM","X",0.01574529571375,0.0592110703451248,"1103","SM-1103-X",35.604067,-118.414979,1087.369263,6.9154689811531,1103,"N","SM-1103","3/28/20","3/29/20","4/5/20",7,6,"3/29/20","3/30/20","4/7/20",8,4,16,"3/28/20",7.5,5,NA,26,1.929,2,"pink"
"288","whole_genome","SM-1105x","SM_x","SM","X",0.0135198788762407,0.0627272786895772,"1105","SM-1105-X",35.60404,-118.41518,1086.695068,8.0670291329199,1105,"N","SM-1105","3/29/20","3/31/20","4/4/20",4,2,"3/30/20","4/1/20","4/6/20",5,1,19,"3/29/20",4.5,1.5,NA,27,1.744,2,"pink"
"289","whole_genome","SM-1106x","SM_x","SM","X",0.00615111380643484,0.0478971305009629,"1106","SM-1106-X",35.604021,-118.415234,1084.680054,5.52325610588093,1106,"N","SM-1106","4/1/20","4/2/20","4/14/20",12,9,"4/1/20","4/2/20","4/17/20",15,6,15,"4/1/20",13.5,7.5,NA,30,1.79,2,"pink"
