site,id,replicate,uniqueID,subspecies,node,date_flowered,avg_protandry,avg_herkogamy,avg_petal_area,lat,lon,ele
GC,710,A,GC-710-A,U,NA,NA,7,5.75,2.7030000000000003,35.64578198,-118.374769,822.750366
GC,710,B,GC-710-B,U,NA,NA,6,5,3.1045,35.64578198,-118.374769,822.750366
GC,711,A,GC-711-A,U,7,11/18,7,8.5,1.597,35.73238104,-118.428775,820.567871
GC,711,B,GC-711-B,U,9,11/23,8.5,9,1.9875,35.73238104,-118.428775,820.567871
GC,711,C,GC-711-C,U,7,11/19,8,8.5,1.7075,35.73238104,-118.428775,820.567871
GC,713,A,GC-713-A,U,14,11/17,0.5,0,0.401,35.73036896,-118.429986,900.10791
GC,713,B,GC-713-B,U,12,11/14,0.25,0,0.3215,35.73036896,-118.429986,900.10791
GC,713,C,GC-713-C,U,13,11/18,3,1.5,0.8345,35.73036896,-118.429986,900.10791
GC,714,A,GC-714-A,U,15,11/23,1.5,0,0.7615000000000001,35.73039897,-118.429997,897.654907
GC,714,B,GC-714-B,U,8,11/20,0.5,1,0.9125,35.73039897,-118.429997,897.654907
GC,714,C,GC-714-C,U,16,11/24,0,0,0.2385,35.73039897,-118.429997,897.654907
S6,323,N,S6-323-N,X,31,12/18/21,8.5,6.25,0.8879999999999999,35.974629018455744,-118.486718,1186.268677
S6,271,N,S6-271-N,P,16,12/3/21,3,0.5,0.483,35.988982021808624,-118.480377,1178.671875
S6,272,N,S6-272-N,P,12,11/26/21,1,0,NA,35.98897699266672,-118.480322,1181.317871
S6,274,N,S6-274-N,P,11,11/30/21,1.5,0,0.5135,35.98888403736055,-118.480348,1179.268555
S6,275,N,S6-275-N,P,12,12/4/21,2,0.25,0.4425,35.988856041803956,-118.48035,1178.307251
S6,276,N,S6-276-N,P,10,11/29/21,2.5,0,0.5645,35.98886299878359,-118.480318,1181.463623
S6,278,N,S6-278-N,X,11,11/26/21,0,0,0.5055000000000001,35.988766020163894,-118.480324,1184.898315
S6,279,N,S6-279-N,P,13,11/22/21,2,0.5,0.716,35.98530001938343,-118.480285,1188.952148
S6,280,N,S6-280-N,P,12,11/25/21,1,0,0.6535,35.985286021605134,-118.480274,1189.736084
S6,282,N,S6-282-N,P,22,12/3/21,3.5,0.5,0.5714999999999999,35.98518703132868,-118.480373,1184.941528
S6,283,N,S6-283-N,P,10,11/17/21,1,0.75,0.6805,35.985162975266576,-118.480396,1183.942627
S6,284,N,S6-284-N,P,10,11/25/21,1.5,0,0.62,35.985116036608815,-118.480369,1185.07019
S6,285,N,S6-285-N,P,11,11/29/21,1,0.75,0.44299999999999995,35.985161969438195,-118.480397,1183.726685
S6,286,N,S6-286-N,P,16,11/27/21,1,1,0.5465,35.98504001274705,-118.480434,1185.815063
S6,287,N,S6-287-N,P,15,12/3/21,1,0,0.542,35.984985027462244,-118.480341,1187.616821
S6,289,N,S6-289-N,P,16,12/8/21,1.5,NA,0.3655,35.98096197,-118.482867,1167.739014
S6,291,N,S6-291-N,P,15,12/23/21,3,0.5,0.5755,35.98090999759734,-118.482802,1171.663574
S6,292,N,S6-292-N,P,17,12/1/21,2,0,NA,35.980931958183646,-118.482863,1171.883301
S6,293,N,S6-293-N,P,13,11/28/21,2.5,0,0.491,35.98008102737367,-118.483356,1176.370972
S6,296,N,S6-296-N,P,19,11/30/21,2,0,0.702,35.98001196049154,-118.483466,1173.775024
S6,297,N,S6-297-N,P,21,12/14/21,3.5,1,0.582,35.97998798824847,-118.483467,1173.167969
S6,299,N,S6-299-N,X,14,11/30/21,8,5.5,1.31,35.97685902379453,-118.485584,1180.791748
S6,301,N,S6-301-N,X,13,11/30/21,6,6,0.706,35.976862041279674,-118.485516,1185.313354
S6,303,N,S6-303-N,X,18,12/14/21,7,5,0.8045,35.97625301219523,-118.48629,1175.390991
S6,304,N,S6-304-N,P,20,12/7/21,6,3.75,0.815,35.976202972233295,-118.486273,1176.328491
S6,305,A,S6-305-A,X,25,12/20/21,7,5.25,1.1695,35.97605604,-118.486187,1181.827515
S6,305,C,S6-305-C,X,7,11/27/21,5,3.5,0.7455,35.97605604,-118.486187,1181.827515
S6,306,A,S6-306-A,X,17,12/3/21,8,7.5,1,35.97606198862195,-118.486127,1184.54834
S6,306,B,S6-306-B,X,13,12/2/21,9,3.5,0.9815,35.97606198862195,-118.486127,1184.54834
S6,306,C,S6-306-C,X,9,12/1/21,10,1,1.2225,35.97606198862195,-118.486127,1184.54834
S6,307,N,S6-307-N,X,16,11/30/21,8,4.25,0.989,35.97606500610709,-118.486059,1187.509644
S6,308,N,S6-308-N,P,19,12/4/21,4.5,4.25,0.8495,35.975986970588565,-118.486153,1187.120361
S6,309,A,S6-309-A,P,20,12/10/21,6.5,4.25,0.6085,35.97593299113214,-118.486144,1188.717041
S6,309,B,S6-309-B,P,24,12/10/21,7.5,7,0.6735,35.97593299113214,-118.486144,1188.717041
S6,310,N,S6-310-N,X,16,11/30/21,8,4.25,0.962,35.97513302229345,-118.486681,1179.069214
S6,312,N,S6-312-N,X,9,12/9/21,7.5,3.25,0.73,35.975063033401966,-118.486703,1181.212524
S6,313,N,S6-313-N,X,18,12/9/21,7,3.75,0.8274999999999999,35.97505498677492,-118.486688,1179.901489
S6,314,N,S6-314-N,X,20,12/7/21,7,4.75,1.0859999999999999,35.97504702396691,-118.486655,1182.519897
S6,315,N,S6-315-N,X,9,11/29/21,7.5,3.25,0.8745,35.975022967904806,-118.486645,1183.864502
S6,316,N,S6-316-N,X,12,11/28/21,9.5,3.5,1.0025,35.97502900287509,-118.486682,1182.58252
S6,317,N,S6-317-N,X,22,12/9/21,7,7.25,0.9355,35.974651984870434,-118.486818,1181.689209
S6,318,N,S6-318-N,X,24,12/24/21,7,5.75,NA,35.974653996527195,-118.486699,1186.216064
S6,319,N,S6-319-N,X,22,12/10/21,5,9.25,0.863,35.974651984870434,-118.486697,1186.442993
S6,320,N,S6-320-N,X,14,12/1/21,7,3.5,0.9790000000000001,35.974629018455744,-118.486632,1191.591064
S6,321,N,S6-321-N,X,12,11/30/21,7.5,4.25,0.819,35.974566992372274,-118.486622,1192.714233
S6,322,N,S6-322-N,X,15,12/8/21,8,2.5,0.8089999999999999,35.974547965452075,-118.486664,1190.869995
S6,324,N,S6-324-N,P,21,12/12/21,8,2.75,0.8374999999999999,35.974626,-118.486768,1183.79248
S6,326,N,S6-326-N,X,17,12/12/21,8.5,4.25,0.8295,35.97456196323037,-118.486857,1180.419434
S6,330,N,S6-330-N,X,11,12/11/21,8,6.25,0.644,35.973492013290524,-118.487,1185.389771
S6,331,N,S6-331-N,X,27,12/16/21,8.5,5.5,1.1635,35.97354297526181,-118.486978,1185.440186
S6,333,N,S6-333-N,X,9,12/3/21,9,3.25,NA,35.971749,-118.485892,1176.185303
S6,334,N,S6-334-N,X,14,12/13/21,8.5,0.5,0.905,35.97181496210396,-118.485867,1178.762939
S6,336,N,S6-336-N,X,14,12/7/21,7,5.5,0.623,35.971865,-118.485887,1182.079468
